0,1,2,3,4,5,6
233.0,40.0,40.0,1.666666667,18.33333333,1723.0,-4.308585047209015
234.0,40.0,11.66666667,5.0,43.33333333,1773.0,-3.3974280170195836
235.0,40.0,18.33333333,5.0,36.66666667,1773.0,-3.541670925248791
236.0,40.0,40.0,2.083333333,17.91666667,1723.0,-4.302331857017798
237.0,63.74999999999999,16.25,0.0,20.0,1673.0,-3.1896234125467116
238.0,56.5,23.5,0.0,20.0,1773.0,-3.0727475711778456
239.0,56.25,23.75,0.0,20.0,1723.0,-3.3723763954965853
240.0,40.0,40.0,1.458333333,18.54166667,1773.0,-4.088086060396306
241.0,52.375,27.625,0.0,20.0,1673.0,-3.9122256620489124
242.0,40.0,40.0,1.666666667,18.33333333,1673.0,-4.5291927343713345
